Q1_LikelihoodToStay,Q2_Age,Q3_Gender,Q4_Education,Q5_JobLevel,Q6_Department,Q7_TenureYears,Q8_SalaryBand,Q9_WeeklyHours,Q10_WorkArrangement,Q11_CommuteMin,Q12_JobSatisfaction,Q13_WorkLifeBalance,Q14_CareerGrowthSat,Q15_ManagerRelationship,Q16_CultureAlignment,Q17_ReasonsLeave,Q18_MotivatorsStay,Q19_TrainingHours,Q20_Recommend,Q21_SwitchFor15Raise,Q22_RetentionInitiatives
3,28,Male,Master’s,Mid,IT Support,14.1,75–120k,59,On-site,47,3,1,1,3,4,"Lack of flexibility, Benefits","Other, Benefits, Competitive pay",28,No,Maybe,Career roadmap
3,32,Male,Bachelor’s,Senior,Product,7.5,75–120k,47,Fully Remote,0,4,3,4,5,4,"Benefits, Limited growth","Recognition, Team culture",31,Yes,Yes,"Mentorship, Remote option, Other"
3,36,Male,Bachelor’s,Lead,Sales,1.5,120–180k,40,On-site,20,2,2,4,3,3,Commute,"Team culture, Purposeful work, Flexible work",39,Yes,Yes,Mentorship
3,38,Male,Master’s,Lead,Engineering,8.7,>250k,39,On-site,36,3,4,4,3,4,"Commute, Benefits, Other",Team culture,28,Yes,No,"Wellness programs, Mentorship, Childcare support"
4,58,Male,Bachelor’s,Mid,Engineering,8.2,75–120k,39,On-site,17,5,4,4,4,4,"Workload stress, Limited growth, Other","Benefits, Growth path, Purposeful work",20,Yes,Maybe,"Mentorship, Childcare support"
2,30,Male,Bachelor’s,Mid,Marketing,10.8,75–120k,45,On-site,31,2,2,3,2,2,Culture misfit,"Recognition, Purposeful work",11,Yes,No,"Salary review, Childcare support, Other"
4,34,Male,Other,Entry,Product,1.7,75–120k,40,On-site,39,4,5,4,4,3,"Low pay, Manager conflict",Manager support,13,Yes,Yes,"Wellness programs, Childcare support, Mentorship"
4,36,Male,Bachelor’s,Senior,Engineering,3.5,75–120k,35,On-site,22,4,4,4,4,3,"Culture misfit, Workload stress, Lack of flexibility","Manager support, Team culture",27,No,Yes,"Other, Wellness programs"
3,34,Male,Diploma,Senior,Sales,3.3,75–120k,45,On-site,34,4,4,3,5,3,"Lack of flexibility, Limited growth",Flexible work,15,Yes,No,"Mentorship, Salary review, Other"
3,25,Male,Bachelor’s,Senior,Sales,4.7,120–180k,43,Fully Remote,0,4,2,5,4,3,Benefits,"Competitive pay, Purposeful work",23,No,Maybe,"Childcare support, Other"
3,41,Female,Bachelor’s,Mid,Engineering,3.9,<75k,57,Fully Remote,0,3,4,2,5,2,"Other, Manager conflict, Culture misfit",Team culture,24,Yes,Maybe,"Childcare support, Wellness programs"
3,37,Male,Master’s,Senior,Marketing,5.1,120–180k,60,On-site,32,3,2,5,2,4,Benefits,"Competitive pay, Growth path, Benefits",28,No,Maybe,Salary review
4,34,Female,Doctorate,Mid,Marketing,4.4,75–120k,48,Hybrid,49,5,5,4,2,5,"Commute, Benefits","Growth path, Manager support",14,Yes,No,"Mentorship, Wellness programs"
3,42,Male,Bachelor’s,Entry,Engineering,1.4,120–180k,31,On-site,45,4,3,4,2,2,Manager conflict,Flexible work,11,Yes,Maybe,Mentorship
3,32,Male,Bachelor’s,Senior,Engineering,1.4,75–120k,49,On-site,60,2,4,3,5,3,"Limited growth, Workload stress, Culture misfit",Competitive pay,20,Yes,Yes,"Childcare support, Wellness programs"
4,29,Male,Diploma,Senior,Sales,0.1,120–180k,53,On-site,33,5,3,3,4,3,"Commute, Limited growth, Benefits","Competitive pay, Benefits, Team culture",17,Yes,Yes,"Wellness programs, Salary review, Mentorship"
4,27,Female,Diploma,Mid,Engineering,4.0,120–180k,43,On-site,27,4,5,5,3,4,"Workload stress, Benefits",Other,16,Yes,Yes,"Other, Mentorship, Childcare support"
4,31,Male,Diploma,Mid,Engineering,4.7,120–180k,34,Fully Remote,0,3,3,3,4,3,Limited growth,"Manager support, Recognition",7,Yes,Maybe,"Childcare support, Remote option, Salary review"
3,20,Female,Master’s,Entry,IT Support,2.3,75–120k,42,On-site,46,3,4,4,3,2,"Lack of flexibility, Commute","Team culture, Competitive pay, Other",7,Yes,Yes,"Childcare support, Mentorship, Career roadmap"
3,35,Male,Bachelor’s,Senior,Finance,1.4,<75k,47,Hybrid,41,4,2,5,3,3,Limited growth,"Recognition, Purposeful work",13,Yes,Yes,"Wellness programs, Mentorship, Career roadmap"
3,31,Female,Bachelor’s,Mid,Engineering,4.3,120–180k,49,On-site,8,4,5,4,3,1,"Culture misfit, Commute, Workload stress","Recognition, Growth path",26,Yes,Yes,"Remote option, Flexible hours, Childcare support"
4,54,Male,Master’s,Entry,Engineering,3.4,<75k,39,On-site,51,5,4,4,3,4,"Commute, Limited growth, Benefits",Team culture,12,Yes,No,Remote option
4,23,Male,Master’s,Senior,Finance,3.0,180–250k,41,On-site,37,3,5,5,1,4,Culture misfit,Competitive pay,28,Yes,Yes,"Wellness programs, Flexible hours"
3,25,Female,Other,Lead,Sales,7.9,>250k,52,On-site,23,4,3,2,2,4,Benefits,"Growth path, Competitive pay",32,No,Yes,"Flexible hours, Other"
4,37,Female,Bachelor’s,Senior,IT Support,0.4,75–120k,50,Hybrid,30,5,3,4,3,4,Other,"Manager support, Other",29,Yes,No,"Career roadmap, Other"
3,30,Male,Master’s,Mid,Engineering,10.1,75–120k,36,On-site,20,1,5,3,3,4,Manager conflict,"Growth path, Flexible work",29,Yes,No,Salary review
2,52,Male,Other,Mid,IT Support,2.0,120–180k,32,On-site,30,3,2,4,3,2,"Commute, Culture misfit",Recognition,16,No,No,"Mentorship, Other, Salary review"
4,27,Female,Bachelor’s,Mid,Sales,5.3,75–120k,40,Fully Remote,0,5,5,5,4,4,Limited growth,Flexible work,16,Yes,Yes,"Career roadmap, Mentorship, Salary review"
4,23,Male,Master’s,Mid,Engineering,6.2,120–180k,36,On-site,60,5,3,4,4,3,"Culture misfit, Other, Low pay","Competitive pay, Purposeful work, Benefits",14,Yes,No,Mentorship
4,42,Female,Master’s,Senior,Finance,7.9,180–250k,54,On-site,25,4,2,5,5,4,"Commute, Low pay, Benefits",Manager support,11,Yes,Yes,"Remote option, Career roadmap"
5,22,Prefer not to say,Bachelor’s,Mid,Marketing,10.3,120–180k,46,Hybrid,28,4,5,2,5,4,"Lack of flexibility, Other","Growth path, Flexible work, Manager support",22,Yes,Yes,"Childcare support, Other, Career roadmap"
3,25,Male,Bachelor’s,Mid,Marketing,2.2,<75k,48,On-site,28,4,4,3,3,5,"Other, Low pay","Other, Manager support, Recognition",0,Yes,Maybe,"Other, Wellness programs, Mentorship"
3,32,Female,Master’s,Mid,Engineering,8.2,180–250k,55,On-site,37,3,4,3,3,5,"Culture misfit, Limited growth",Recognition,19,Yes,Maybe,Childcare support
5,36,Male,Diploma,Senior,Product,3.4,75–120k,53,Fully Remote,0,4,4,5,4,4,"Limited growth, Workload stress","Team culture, Other",21,Yes,No,"Mentorship, Other"
2,25,Male,Master’s,Mid,Engineering,3.5,<75k,32,Hybrid,36,3,4,1,2,3,Limited growth,"Purposeful work, Benefits",44,Yes,Yes,Career roadmap
3,40,Female,Diploma,Mid,Engineering,5.1,>250k,44,Hybrid,16,4,4,1,3,4,Culture misfit,"Manager support, Benefits, Flexible work",17,Yes,Yes,"Wellness programs, Childcare support"
4,32,Male,Bachelor’s,Senior,Finance,1.9,75–120k,47,Hybrid,20,1,5,2,4,4,"Low pay, Lack of flexibility","Manager support, Purposeful work, Recognition",23,No,No,"Remote option, Mentorship, Salary review"
3,42,Male,Master’s,Mid,Finance,2.3,120–180k,58,On-site,32,2,2,2,5,3,"Limited growth, Culture misfit",Flexible work,25,Yes,Maybe,Flexible hours
4,57,Female,Bachelor’s,Management,Other,3.4,120–180k,40,On-site,32,3,4,5,4,4,"Limited growth, Lack of flexibility, Benefits","Other, Purposeful work, Flexible work",1,No,Maybe,"Salary review, Career roadmap"
4,35,Male,Master’s,Mid,IT Support,7.8,75–120k,50,Fully Remote,0,3,4,4,4,2,Limited growth,"Growth path, Other",4,Yes,Maybe,Salary review
4,31,Male,Bachelor’s,Lead,Product,0.2,120–180k,46,On-site,14,4,2,5,4,3,Other,"Flexible work, Other",31,Yes,Yes,"Mentorship, Other"
4,23,Male,Master’s,Mid,Engineering,10.3,<75k,51,On-site,40,4,5,5,4,5,"Low pay, Culture misfit","Other, Flexible work",32,No,Yes,"Career roadmap, Wellness programs, Mentorship"
4,29,Male,Bachelor’s,Lead,Engineering,3.3,120–180k,36,Hybrid,40,4,4,4,4,2,"Limited growth, Manager conflict","Benefits, Team culture",23,Yes,Yes,"Childcare support, Remote option, Salary review"
3,25,Male,Master’s,Management,Engineering,2.1,120–180k,60,Hybrid,29,4,4,4,1,5,"Culture misfit, Commute, Benefits",Benefits,40,Yes,Maybe,"Remote option, Wellness programs"
4,39,Female,Bachelor’s,Senior,Engineering,7.6,120–180k,42,Hybrid,27,3,4,5,4,4,Lack of flexibility,"Flexible work, Growth path, Other",29,Yes,Maybe,Remote option
4,35,Male,Diploma,Mid,Product,10.9,75–120k,38,On-site,14,2,4,4,4,4,"Workload stress, Commute","Team culture, Benefits",13,Yes,Maybe,Remote option
3,43,Male,Diploma,Mid,Product,10.0,120–180k,30,Hybrid,37,5,1,2,1,4,"Other, Lack of flexibility",Purposeful work,28,Yes,No,"Wellness programs, Other"
3,33,Male,Doctorate,Mid,Engineering,0.6,75–120k,44,Fully Remote,0,4,3,4,4,3,"Lack of flexibility, Limited growth, Other",Manager support,10,No,Yes,"Wellness programs, Career roadmap, Flexible hours"
4,26,Male,Master’s,Entry,Sales,5.6,120–180k,56,Hybrid,29,1,3,5,4,5,"Benefits, Limited growth, Culture misfit",Competitive pay,17,Yes,Yes,Mentorship
3,22,Female,Doctorate,Mid,Engineering,11.9,75–120k,42,Hybrid,44,2,4,4,4,2,"Other, Benefits, Commute","Flexible work, Purposeful work, Benefits",26,Yes,Yes,"Career roadmap, Salary review"
3,43,Male,Bachelor’s,Mid,Sales,11.1,>250k,48,On-site,20,3,4,4,5,2,"Limited growth, Lack of flexibility","Benefits, Competitive pay, Recognition",23,No,Maybe,"Flexible hours, Wellness programs"
4,30,Male,Master’s,Entry,Engineering,3.1,<75k,45,On-site,20,5,3,4,5,4,"Manager conflict, Workload stress","Recognition, Growth path, Purposeful work",0,Yes,Yes,Mentorship
4,39,Female,Bachelor’s,Entry,Sales,5.6,<75k,37,On-site,145,3,4,4,5,3,Workload stress,"Team culture, Flexible work, Competitive pay",16,Yes,Maybe,Wellness programs
4,40,Female,Bachelor’s,Senior,Engineering,2.3,180–250k,47,Hybrid,20,2,5,4,3,3,Workload stress,"Purposeful work, Growth path, Benefits",6,Yes,Maybe,"Flexible hours, Mentorship"
3,53,Female,Bachelor’s,Management,IT Support,3.9,>250k,44,Fully Remote,0,5,4,3,2,3,"Other, Commute, Manager conflict","Competitive pay, Other, Recognition",25,Yes,Yes,Other
2,34,Female,Bachelor’s,Lead,IT Support,4.2,180–250k,39,Hybrid,36,3,2,3,2,1,Limited growth,Team culture,25,Yes,Maybe,"Wellness programs, Mentorship, Career roadmap"
4,34,Male,Bachelor’s,Senior,Engineering,0.3,180–250k,43,On-site,47,5,2,4,5,3,"Limited growth, Manager conflict, Culture misfit","Recognition, Purposeful work",13,Yes,Maybe,"Flexible hours, Remote option"
3,34,Prefer not to say,Master’s,Senior,Engineering,1.9,120–180k,36,Fully Remote,0,3,2,3,3,5,Culture misfit,Growth path,17,Yes,Maybe,Wellness programs
4,20,Male,Bachelor’s,Senior,Engineering,0.8,75–120k,46,Fully Remote,0,5,5,4,2,4,"Other, Lack of flexibility, Culture misfit",Purposeful work,31,Yes,Yes,"Salary review, Remote option"
4,24,Male,Master’s,Mid,Product,3.5,75–120k,47,Fully Remote,0,4,3,4,3,3,Workload stress,"Manager support, Recognition, Purposeful work",22,No,No,"Flexible hours, Childcare support"
2,29,Female,Master’s,Senior,Marketing,3.8,180–250k,38,Hybrid,27,2,4,2,2,1,"Other, Low pay, Commute","Team culture, Competitive pay, Growth path",20,No,No,"Wellness programs, Salary review"
3,44,Male,Bachelor’s,Senior,Marketing,2.5,180–250k,41,Hybrid,41,4,3,3,2,4,"Low pay, Limited growth, Lack of flexibility","Recognition, Purposeful work, Other",12,Yes,No,"Wellness programs, Childcare support"
2,51,Male,Other,Senior,Engineering,3.8,180–250k,47,Fully Remote,0,4,2,3,5,3,Workload stress,"Competitive pay, Growth path, Flexible work",9,Yes,Maybe,"Other, Mentorship, Remote option"
5,38,Male,Bachelor’s,Entry,IT Support,4.1,<75k,47,Fully Remote,0,5,3,4,4,5,Commute,"Manager support, Team culture, Competitive pay",22,No,Maybe,Salary review
4,43,Male,Bachelor’s,Management,IT Support,5.0,180–250k,39,Hybrid,35,4,4,4,3,4,"Lack of flexibility, Limited growth",Manager support,27,Yes,Maybe,"Mentorship, Career roadmap"
3,41,Female,Bachelor’s,Mid,Engineering,6.8,<75k,37,On-site,23,4,4,4,2,3,"Low pay, Benefits, Other","Growth path, Benefits",25,Yes,No,"Childcare support, Remote option, Salary review"
4,34,Female,Diploma,Senior,Engineering,3.3,75–120k,48,On-site,20,4,5,4,3,3,"Lack of flexibility, Limited growth","Growth path, Recognition",0,Yes,Maybe,Childcare support
4,29,Male,Bachelor’s,Mid,Marketing,4.1,75–120k,39,Hybrid,42,3,5,4,2,2,Other,"Growth path, Recognition, Purposeful work",25,No,Yes,"Remote option, Flexible hours, Salary review"
4,41,Female,Bachelor’s,Mid,Engineering,1.9,75–120k,30,Hybrid,32,3,4,4,2,3,"Limited growth, Workload stress, Benefits","Manager support, Other, Purposeful work",25,Yes,No,"Wellness programs, Childcare support, Other"
4,20,Male,Bachelor’s,Mid,Engineering,2.3,75–120k,51,Fully Remote,0,3,3,5,5,2,"Commute, Other, Culture misfit",Benefits,18,Yes,Maybe,"Salary review, Other"
2,33,Male,Master’s,Senior,Engineering,12.1,75–120k,51,Fully Remote,0,2,2,3,3,3,Other,"Manager support, Competitive pay",32,No,No,"Mentorship, Remote option, Career roadmap"
3,26,Female,Bachelor’s,Senior,Engineering,2.3,>250k,44,On-site,5,3,5,1,4,5,"Limited growth, Workload stress",Recognition,28,No,Maybe,"Remote option, Other, Childcare support"
3,29,Female,Other,Mid,Marketing,4.6,180–250k,34,Hybrid,20,2,3,3,5,4,Lack of flexibility,Benefits,16,Yes,Maybe,"Career roadmap, Wellness programs"
3,35,Female,Bachelor’s,Entry,Sales,1.0,75–120k,44,Hybrid,5,4,4,2,4,5,Workload stress,"Team culture, Purposeful work",9,No,Maybe,Career roadmap
3,27,Male,Bachelor’s,Senior,Sales,4.7,180–250k,42,On-site,33,4,1,2,4,5,"Other, Limited growth, Lack of flexibility","Purposeful work, Benefits, Competitive pay",19,Yes,Maybe,Wellness programs
4,33,Female,Master’s,Mid,HR,0.4,75–120k,46,Hybrid,24,5,4,2,4,4,Commute,Other,32,No,Yes,"Salary review, Wellness programs, Remote option"
4,30,Male,Master’s,Senior,Engineering,14.1,180–250k,36,Fully Remote,0,4,5,3,5,4,Workload stress,Flexible work,9,Yes,No,"Mentorship, Other"
3,24,Male,Bachelor’s,Mid,HR,2.9,<75k,38,Fully Remote,0,5,4,4,3,4,Other,Team culture,25,No,No,Wellness programs
4,29,Male,Master’s,Mid,Engineering,6.8,75–120k,49,On-site,22,4,4,4,3,5,"Other, Benefits",Recognition,0,Yes,Maybe,"Salary review, Wellness programs"
3,35,Male,Master’s,Mid,Marketing,2.6,75–120k,49,Hybrid,31,3,3,1,3,4,"Limited growth, Commute, Low pay",Team culture,39,Yes,No,"Flexible hours, Other"
3,37,Female,Master’s,Mid,IT Support,6.1,75–120k,60,On-site,31,3,5,2,3,1,"Other, Lack of flexibility",Purposeful work,31,Yes,Maybe,Wellness programs
2,37,Female,Bachelor’s,Lead,HR,7.1,>250k,40,On-site,34,2,3,1,4,3,Low pay,"Manager support, Flexible work",38,Yes,Maybe,"Salary review, Other, Childcare support"
4,25,Female,Diploma,Lead,IT Support,7.4,120–180k,58,On-site,38,1,3,5,5,4,"Benefits, Limited growth, Other","Recognition, Team culture",13,Yes,Yes,"Other, Salary review, Childcare support"
4,43,Male,Diploma,Lead,Marketing,6.0,120–180k,66,On-site,36,5,2,4,4,4,"Manager conflict, Workload stress, Culture misfit","Competitive pay, Benefits",33,Yes,Maybe,"Flexible hours, Career roadmap, Remote option"
2,21,Male,Bachelor’s,Mid,Marketing,4.1,75–120k,49,Hybrid,28,3,4,1,2,3,"Low pay, Benefits, Culture misfit","Competitive pay, Purposeful work",18,Yes,No,Wellness programs
4,20,Male,Bachelor’s,Mid,Engineering,3.1,75–120k,45,On-site,26,5,4,4,3,5,"Lack of flexibility, Workload stress, Low pay","Other, Benefits",12,Yes,Maybe,"Other, Wellness programs, Mentorship"
4,27,Male,Bachelor’s,Mid,IT Support,3.5,75–120k,33,On-site,7,5,4,4,3,5,"Low pay, Commute",Competitive pay,21,No,Maybe,"Career roadmap, Other"
3,31,Male,Bachelor’s,Entry,Product,1.6,<75k,43,Fully Remote,0,4,4,3,4,1,Manager conflict,"Benefits, Competitive pay",13,Yes,Maybe,Wellness programs
3,40,Female,Master’s,Entry,IT Support,3.8,<75k,39,On-site,28,4,1,2,4,3,"Workload stress, Culture misfit","Manager support, Benefits, Purposeful work",1,No,Maybe,"Childcare support, Salary review, Mentorship"
3,37,Female,Bachelor’s,Senior,Engineering,7.6,180–250k,39,Fully Remote,0,5,5,3,3,4,"Limited growth, Other","Team culture, Other",33,No,Maybe,Other
4,26,Male,Bachelor’s,Entry,IT Support,10.2,<75k,45,Hybrid,28,3,2,3,3,4,"Commute, Low pay",Purposeful work,3,No,Yes,"Remote option, Salary review, Flexible hours"
3,33,Female,Bachelor’s,Mid,Engineering,4.6,180–250k,41,On-site,28,3,2,1,4,4,Lack of flexibility,"Purposeful work, Competitive pay",25,Yes,Yes,"Wellness programs, Mentorship"
4,33,Female,Bachelor’s,Senior,Other,4.4,>250k,32,On-site,12,4,2,4,4,4,"Commute, Manager conflict, Low pay",Flexible work,17,Yes,Yes,"Flexible hours, Remote option, Childcare support"
5,27,Male,Bachelor’s,Mid,Other,2.1,75–120k,36,On-site,32,4,4,3,5,5,"Manager conflict, Limited growth",Growth path,31,No,Maybe,"Flexible hours, Childcare support"
3,30,Male,Bachelor’s,Mid,Engineering,1.0,180–250k,47,Fully Remote,0,2,4,2,4,3,"Limited growth, Commute","Flexible work, Other",37,Yes,No,Mentorship
5,33,Male,Master’s,Mid,Product,1.6,75–120k,39,Hybrid,62,5,5,3,5,4,"Lack of flexibility, Culture misfit, Benefits","Flexible work, Growth path, Competitive pay",17,No,Maybe,"Other, Career roadmap, Mentorship"
3,32,Female,Diploma,Lead,Product,4.3,180–250k,53,Hybrid,41,2,3,3,5,3,"Limited growth, Culture misfit, Manager conflict","Other, Benefits, Growth path",29,No,Yes,"Remote option, Childcare support, Flexible hours"
3,38,Male,Master’s,Senior,Marketing,6.3,180–250k,38,On-site,32,2,3,3,2,3,Commute,Flexible work,21,No,No,"Career roadmap, Childcare support"
3,20,Male,Bachelor’s,Senior,HR,4.4,75–120k,32,On-site,20,3,5,5,3,5,"Commute, Limited growth, Other","Flexible work, Other, Growth path",17,No,Yes,"Wellness programs, Childcare support, Career roadmap"
4,34,Female,Bachelor’s,Senior,Engineering,3.7,120–180k,62,Hybrid,14,2,3,3,4,5,"Commute, Manager conflict, Benefits","Purposeful work, Competitive pay, Recognition",22,Yes,Maybe,"Career roadmap, Mentorship, Flexible hours"
2,37,Male,Bachelor’s,Mid,Engineering,2.3,<75k,38,On-site,43,4,1,3,4,2,Workload stress,"Purposeful work, Manager support",28,Yes,Yes,Wellness programs
4,31,Male,Master’s,Mid,Finance,1.8,75–120k,43,Fully Remote,0,2,4,4,3,4,"Benefits, Workload stress","Other, Growth path",27,Yes,Maybe,"Other, Flexible hours"
4,43,Non-binary,Master’s,Management,HR,2.1,>250k,42,On-site,34,4,3,4,3,3,"Manager conflict, Workload stress","Benefits, Recognition",18,Yes,Maybe,"Other, Mentorship, Remote option"
3,31,Female,Bachelor’s,Senior,Sales,2.9,120–180k,47,On-site,34,4,3,4,3,4,Manager conflict,"Benefits, Competitive pay, Manager support",10,Yes,Yes,"Other, Remote option, Career roadmap"
4,62,Male,Diploma,Entry,Sales,6.4,<75k,40,On-site,27,3,4,4,1,4,"Lack of flexibility, Low pay","Competitive pay, Recognition",0,Yes,No,"Other, Childcare support"
3,35,Male,Master’s,Senior,Sales,3.0,<75k,46,On-site,31,3,3,1,3,4,Limited growth,"Benefits, Other",35,Yes,No,Mentorship
3,35,Female,Bachelor’s,Mid,Engineering,3.4,75–120k,31,On-site,36,2,3,3,2,2,"Lack of flexibility, Culture misfit, Commute","Flexible work, Other",20,Yes,Maybe,Childcare support
2,45,Male,Master’s,Senior,Product,1.1,>250k,51,On-site,41,4,2,2,1,4,"Other, Culture misfit, Lack of flexibility","Team culture, Manager support, Purposeful work",19,Yes,Maybe,Childcare support
4,35,Male,Master’s,Entry,Engineering,3.1,<75k,55,On-site,27,3,1,5,5,4,Culture misfit,"Recognition, Competitive pay",7,Yes,No,"Childcare support, Flexible hours, Wellness programs"
4,36,Male,Bachelor’s,Mid,Engineering,4.2,120–180k,45,Fully Remote,0,5,5,4,5,4,Low pay,"Benefits, Purposeful work",19,Yes,Maybe,"Other, Childcare support"
3,39,Female,Bachelor’s,Mid,HR,1.0,<75k,34,On-site,37,5,4,2,3,1,"Lack of flexibility, Culture misfit, Commute","Benefits, Flexible work",40,Yes,Yes,"Wellness programs, Other, Childcare support"
3,27,Female,Other,Entry,HR,0.7,<75k,46,Fully Remote,0,4,3,4,3,4,"Manager conflict, Other","Other, Team culture",21,No,Maybe,"Career roadmap, Wellness programs"
5,39,Male,Doctorate,Entry,Sales,2.6,<75k,50,On-site,36,4,3,3,5,5,"Commute, Other, Low pay","Other, Purposeful work, Recognition",46,No,No,Career roadmap
3,30,Male,Bachelor’s,Mid,Sales,2.2,75–120k,36,On-site,5,5,5,3,4,4,"Commute, Culture misfit, Limited growth",Other,21,Yes,Maybe,"Remote option, Salary review"
3,36,Male,Diploma,Entry,HR,2.0,<75k,45,On-site,17,1,4,5,3,4,"Manager conflict, Other, Low pay",Purposeful work,12,Yes,Maybe,"Remote option, Salary review, Career roadmap"
